method,n,mean_m,median_m,sd_m,rmse_m,q80_m,q95_m,max_m,height,variant,share-80,med-80,share-75,med-75
h0.5_baseline_clamp1000,1184,125.12587208400186,84.79705595746138,131.8236082308159,181.7120541953005,190.86641736304793,362.5454201655091,1369.3490643910197,0.5,baseline_clamp1000,0.4,39.7,0.29,34.2
h0.5_drop_below_asymp,1082,113.27117189993265,73.2979650163409,111.57253055516897,158.95685873839224,172.93332677060772,338.81348852780286,700.5140206533637,0.5,drop_below_asymp,0.44,39.6,0.32,34.1
h0.5_assign750,1184,124.1871145007198,84.60403929983687,123.99025665554547,175.4509581273124,194.87869776161085,360.2931541281848,1125.0386408529303,0.5,assign750,0.4,39.9,0.29,34.2
h1.0_baseline_clamp1000,1056,141.8074928084179,90.05263571838545,158.78866299232504,212.8363873249914,219.54633683980074,440.54751614911055,1392.4702841237704,1.0,baseline_clamp1000,0.48,45.1,0.36,40.4
h1.0_drop_below_asymp,1007,127.24402077724677,82.79711473370558,126.15184744534754,179.13549557377394,194.064776366179,388.4978291564153,871.3776882319077,1.0,drop_below_asymp,0.5,45.0,0.37,40.4
h1.0_assign750,1056,140.81622437097124,90.80014268328891,153.77645233858294,208.45626198481216,222.20358280982964,438.01643279941175,1260.4406717680902,1.0,assign750,0.48,45.2,0.36,40.4
h2.0_baseline_clamp1000,1208,147.59902382073514,92.81925914495314,153.89378898490588,213.18809709171637,249.4497530352405,426.76112269162917,1368.0131447418003,2.0,baseline_clamp1000,0.59,58.2,0.43,45.0
h2.0_drop_below_asymp,1166,138.50380199422503,84.93900860000626,134.97961106750958,193.357629618044,240.88982113798454,406.8281996673293,782.015658472979,2.0,drop_below_asymp,0.61,56.6,0.44,45.2
h2.0_assign750,1208,144.95094749890788,92.6386062302586,145.5244251962625,205.35482605423462,248.70268671236641,424.59624287204684,1167.6605585618565,2.0,assign750,0.59,58.1,0.43,45.0
h3.0_baseline_clamp1000,1215,139.23073325186115,87.97207535359934,154.31769251539,207.7968896448979,212.74022458183177,392.01409133320345,1309.4223470621112,3.0,baseline_clamp1000,0.6,51.1,0.41,43.1
h3.0_drop_below_asymp,1203,136.95242407311585,86.09636213521543,144.6672436238219,199.1662140531815,211.85151771218239,401.50529385555353,1170.7437070312792,3.0,drop_below_asymp,0.6,51.1,0.41,43.2
h3.0_assign750,1215,139.74620719720957,88.44327889531475,151.5280191499515,206.0845585788389,214.01807962070225,392.01409133320345,1248.773527029058,3.0,assign750,0.6,51.1,0.41,43.1
