tag,point,n_avail,n_used,err
4C336155,br_field_12,5,3,98.12802535814501
194C662A,br_fence_1,4,4,112.88268084888044
331E551E,br_field_8,4,4,348.84340251048604
4C336155,br_fence_3,4,3,71.3498272837837
4C336155,br_field_2,4,3,62.4772595951887
4C336155,br_fence_1,4,4,93.15062364751239
331E551E,br_field_2,4,4,103.77646468977868
331E551E,br_field_12,4,3,106.13525274708394
194C662A,br_field_2,4,4,411.4766838428024
331E551E,br_fence_1,3,3,157.93991824707985
331E551E,br_fence_4,3,3,78.0822854419684
194C662A,br_field_8,3,3,191.21683444777014
4C336155,br_field_1,3,3,119.020178158275
4C336155,br_field_4,3,3,70.10710421368984
4C336155,br_field_5,3,3,181.96014882101417
4C336155,br_field_11,3,3,147.91254309591247
194C662A,br_fence_3,3,3,318.85132257099986
4C336155,br_field_8,3,3,333.1338404288318
4C336155,br_fence_4,3,3,125.57445507648119
194C662A,br_field_4,3,3,74.82297342558086
19195552,br_field_1,3,3,100.77692720913612
19195552,br_field_2,3,3,462.3336242852852
331E551E,br_field_9,3,3,102.05129241487384
194C662A,br_fence_4,3,3,84.4873440923507
331E551E,br_field_1,3,3,115.23401705284876
331E551E,br_field_11,3,3,155.52887499000835
331E551E,br_fence_2,3,3,206.5754844153042
194C662A,br_field_1,3,3,119.954412958643
194C662A,br_field_9,3,3,57.74742516648325
4C336155,br_field_9,3,3,64.66671660518696
