tag,point,species,est_lon,est_lat,n_nodes,conf_min_dist,err_m,inferred
194C662A,br_fence_1,BOBO,-78.11601626678711,38.98061386736638,4,110.8,112.9,BOBO
194C662A,br_fence_1,EAME,-78.11617400473425,38.98094470872442,4,139.8,148.1,BOBO
194C662A,br_fence_4,BOBO,-78.1185620465803,38.9795563495282,3,117.7,84.5,BOBO
194C662A,br_fence_4,EAME,-78.1180000361326,38.98071637846801,3,149.3,218.4,BOBO
194C662A,br_field_8,BOBO,-78.11311981149468,38.978115094894996,3,125.4,191.2,BOBO
194C662A,br_field_8,EAME,-78.11261862493924,38.97801723405512,3,159.9,223.7,BOBO
194C662A,br_field_2,BOBO,-78.11793147140914,38.9804041981647,4,143.4,411.5,BOBO
194C662A,br_field_2,EAME,-78.11908749801887,38.97961799918668,4,185.5,487.2,BOBO
194C662A,br_fence_3,BOBO,-78.11600506341696,38.97800385726073,3,166.7,318.9,BOBO
194C662A,br_fence_3,EAME,-78.1157693647219,38.98138775401779,3,220.9,381.4,BOBO
194C662A,br_field_4,BOBO,-78.1149410194333,38.977711570071115,3,133.9,74.8,BOBO
194C662A,br_field_4,EAME,-78.11495242099389,38.97886952798815,3,171.8,64.5,BOBO
194C662A,br_field_1,BOBO,-78.1120056207854,38.979274847041275,3,55.4,120.0,BOBO
194C662A,br_field_1,EAME,-78.11210793636546,38.97930663729416,3,67.6,128.4,BOBO
194C662A,br_field_9,BOBO,-78.11672106340967,38.98025646234363,3,92.9,57.7,BOBO
194C662A,br_field_9,EAME,-78.11705104953414,38.98047691663296,3,115.9,52.2,BOBO
331E551E,br_fence_1,BOBO,-78.11678097537306,38.97961762390503,3,104.3,157.9,BOBO
331E551E,br_fence_1,EAME,-78.11713689344379,38.97962866384659,3,131.1,187.7,BOBO
331E551E,br_fence_4,BOBO,-78.11865829427171,38.979492621403054,3,125.4,78.1,BOBO
331E551E,br_fence_4,EAME,-78.11798248780337,38.98088154806551,3,159.9,236.7,BOBO
331E551E,br_field_8,BOBO,-78.11123261046852,38.9783615045789,4,117.7,348.8,BOBO
331E551E,br_field_8,EAME,-78.11093914585716,38.97890887012149,3,149.3,398.3,BOBO
331E551E,br_field_2,BOBO,-78.11457256844712,38.97864162172162,4,143.4,103.8,BOBO
331E551E,br_field_2,EAME,-78.11709593448656,38.981210440423276,3,185.5,392.5,BOBO
331E551E,br_fence_2,BOBO,-78.11819563437538,38.97944674311492,3,98.4,206.6,BOBO
331E551E,br_fence_2,EAME,-78.11866205643592,38.97936953422923,3,123.2,245.7,BOBO
331E551E,br_field_11,BOBO,-78.11749831897671,38.97719645124194,3,74.0,155.5,BOBO
331E551E,br_field_11,EAME,-78.11766945443443,38.97707465371026,3,91.3,175.5,BOBO
331E551E,br_field_1,BOBO,-78.11245663830465,38.97842018772882,3,58.8,115.2,BOBO
331E551E,br_field_1,EAME,-78.11244564732748,38.978431043236064,3,71.9,114.3,BOBO
331E551E,br_field_12,BOBO,-78.11585914345633,38.978667459738844,3,117.7,106.1,BOBO
331E551E,br_field_12,EAME,-78.11790214538668,38.97981904004459,3,149.3,292.5,BOBO
331E551E,br_field_9,BOBO,-78.11629811675103,38.98049367784291,3,117.7,102.1,BOBO
331E551E,br_field_9,EAME,-78.1163653381143,38.98083501826823,3,149.3,120.2,BOBO
19195552,br_field_2,BOBO,-78.11880188129496,38.979592065998794,3,258.4,462.3,BOBO
19195552,br_field_2,EAME,-78.12096560628937,38.97885241168552,3,453.2,645.9,BOBO
19195552,br_field_1,BOBO,-78.11213872800894,38.97799583576685,3,92.9,100.8,BOBO
19195552,br_field_1,EAME,-78.11223255286393,38.97721535088168,3,115.9,166.7,BOBO
4C336155,br_fence_1,BOBO,-78.11590158108216,38.9804373293418,4,92.9,93.2,BOBO
4C336155,br_fence_1,EAME,-78.1159435459565,38.980707786937835,4,115.9,115.3,BOBO
4C336155,br_fence_4,BOBO,-78.11824760800292,38.9799035041119,3,117.7,125.6,BOBO
4C336155,br_fence_4,EAME,-78.11799053220989,38.98071859761139,3,149.3,218.9,BOBO
4C336155,br_field_8,BOBO,-78.11168839150766,38.978743999478134,3,104.3,333.1,BOBO
4C336155,br_field_8,EAME,-78.11158254567025,38.97860401295919,3,131.1,333.2,BOBO
