point,tag,n,max_gap_deg,err
br_field_1,331E551E,3,154,115.2
br_field_8,331E551E,4,163,348.8
br_field_1,194C662A,3,171,120.0
br_field_1,4C336155,3,173,119.0
br_fence_4,4C336155,3,175,125.6
br_field_8,194C662A,3,177,191.2
br_field_4,4C336155,3,180,70.1
br_field_1,19195552,3,181,100.8
br_field_8,4C336155,3,185,333.1
br_field_4,194C662A,3,187,74.8
br_fence_3,4C336155,4,188,70.9
br_field_2,4C336155,3,191,62.5
br_field_12,4C336155,3,191,98.1
br_fence_4,194C662A,3,200,84.5
br_field_2,331E551E,4,200,103.8
br_field_12,331E551E,3,203,106.1
br_fence_4,331E551E,3,205,78.1
br_fence_3,194C662A,3,216,318.9
br_fence_1,4C336155,4,238,93.2
br_field_5,4C336155,3,248,182.0
br_fence_1,194C662A,4,248,112.9
br_field_9,331E551E,3,264,102.1
br_field_9,4C336155,3,269,64.7
br_field_9,194C662A,3,274,57.7
br_field_10,4C336155,3,279,454.2
br_field_11,331E551E,3,313,155.5
br_field_2,194C662A,4,313,411.5
br_field_11,4C336155,3,340,147.9
br_fence_1,331E551E,3,343,157.9
br_fence_2,331E551E,3,347,206.6
br_field_2,19195552,3,347,462.3
