method,n,mean_m,median_m,sd_m,rmse_m,q80_m,q95_m,max_m,sec
topk_all_w0,3200,256.7707713542111,214.61033113572392,175.0517550207916,310.74872483029327,378.40618530510056,618.5928743959804,1105.8011819521234,2.8
topk5_w0,3200,253.7726245068483,212.50769477042093,173.92360620301892,307.6369821717771,371.985843504049,611.7356459181457,1105.8011819521234,3.1
topk3_w0,3200,247.11965147653166,203.800966855346,173.48190816424062,301.9183492515727,368.64197319235006,608.0867584302339,1012.5433658490538,3.5
rssi>-95_w0,307,186.96130353141598,153.9625929348854,125.22044961111193,224.90801358772413,275.81124786286875,437.53499498940147,765.0884318677431,1.2
rssi>-90_w0,90,153.96917792689598,126.21583029165234,92.35778565515787,179.2810391060055,231.20097602012763,322.91350471287814,431.4916999701367,1.0
rssi>-85_w0,23,146.33580440820825,134.38199501196928,84.60817430083081,168.111480284438,218.31509239930338,252.05394372571962,357.8222579756287,1.0
w2_all,3200,220.40215711021614,175.62128725593158,183.2517460001289,286.61440847448404,355.1204029510828,591.6974026889832,1105.8011819521234,2.7
topk5_w2,3200,220.08918048581162,175.8962071468435,182.64692886789572,285.98727772900156,355.5930077999664,589.1989044725942,1105.8011819521234,3.0
rssi>-90_w2,90,123.20109245165871,99.30150961180638,91.80340123442322,153.3386145784678,205.14412065849368,314.12442579300046,411.59837543085223,1.0
rssi>-90_topk6_w2,90,123.20109245165871,99.30150961180638,91.80340123442322,153.3386145784678,205.14412065849368,314.12442579300046,411.59837543085223,1.3
calmax300_rssi>-90_w2,90,118.88915738648471,100.2126012969008,91.32772853376684,149.6085248198474,178.71686863715448,310.2621028338576,412.45648238299236,0.7
calmax200_rssi>-90_w2,90,119.23989729833825,101.33974291233679,90.77027419714601,149.55216028088194,179.48370426951567,311.08784048704126,411.6757452338985,0.7
calmax200_rssi>-85_topk6_w2,23,117.22766687620205,112.93584999841835,76.12596027077144,138.8723303998418,179.00899886641002,221.4875333576337,275.2554082360215,0.7
