tag_id,species,date,level,field_name,prop_use,confidence
1961612A,EAME,2024-05-25,95,blue_silo,0.13469876403125422,0.866690092542001
1961612A,EAME,2024-05-25,50,blue_silo,0.22159378108404615,0.866690092542001
1961612A,EAME,2024-05-25,95,frog,0.09832767022017243,0.512378659616759
1961612A,EAME,2024-05-25,50,frog,0.09563060593410125,0.512378659616759
1961612A,EAME,2024-05-25,95,pear_tree,0.018490297446873864,0
1961612A,EAME,2024-05-25,95,wheat,0.2864835380339174,0.3808271451819566
1961612A,EAME,2024-05-25,50,wheat,0.20708931609288744,0.3808271451819566
1961612A,EAME,2024-05-25,95,quarter,0.08190601493067776,0.35868131825655014
1961612A,EAME,2024-05-25,50,quarter,0.055764097604514236,0.35868131825655014
1961612A,EAME,2024-05-25,95,cat_barn,0.030843725159710508,0.1669011909794927
1961612A,EAME,2024-05-25,50,cat_barn,0.00977139085884393,0.1669011909794927
1961612A,EAME,2024-05-25,95,cattle,0.040551757839010265,0.0706384981007743
1961612A,EAME,2024-05-25,50,cattle,0.005437274599437303,0.0706384981007743
1961612A,EAME,2024-05-25,95,off_field,0.30332336295351503,NA
1961612A,EAME,2024-05-25,50,off_field,0.4047135338261697,NA
1961612A,EAME,2024-05-28,95,frog,0.2645110166070093,0.766183598709308
1961612A,EAME,2024-05-28,50,frog,0.38486425516308687,0.766183598709308
1961612A,EAME,2024-05-28,95,pear_tree,0.03450952778899736,0
1961612A,EAME,2024-05-28,95,wheat,0.3663260624541058,0.60931276300126
1961612A,EAME,2024-05-28,50,wheat,0.4238762217742849,0.60931276300126
1961612A,EAME,2024-05-28,95,cattle,0.25988822544981893,0.40942572743395794
1961612A,EAME,2024-05-28,50,cattle,0.20206574414335107,0.40942572743395794
1961612A,EAME,2024-05-28,95,off_field,0.06752995924721698,NA
1961612A,EAME,2024-05-28,50,off_field,0,NA
1961612A,EAME,2024-07-03,95,alfalfa,0.025574586405668568,7.742868712485037e-4
1961612A,EAME,2024-07-03,95,blue_silo,0.0875388031248492,1
1961612A,EAME,2024-07-03,50,blue_silo,0.1662965650528467,1
1961612A,EAME,2024-07-03,95,bobolink,0.04374110367203195,0.7543822035364158
1961612A,EAME,2024-07-03,50,bobolink,0.06268503110874217,0.7543822035364158
1961612A,EAME,2024-07-03,95,frog,0.027636322612418066,0.7159370877982444
1961612A,EAME,2024-07-03,50,frog,0.0375870108132422,0.7159370877982444
1961612A,EAME,2024-07-03,95,horse,0.025092977884924587,0.9633875194737354
1961612A,EAME,2024-07-03,50,horse,0.04592359666054051,0.9633875194737354
