tag_id,species,date,level,field_name,prop_use,confidence
3433344B,EAME,2024-05-16,95,blue_silo,0.017471403981504756,0
3433344B,EAME,2024-05-16,95,swale,0.04310396449901606,0
3433344B,EAME,2024-05-16,95,cattle,0.013868876022140094,0.00597831903639204
3433344B,EAME,2024-05-16,95,wish_well,0.5257937319826101,0.6097185420219112
3433344B,EAME,2024-05-16,50,wish_well,0.6088842716310225,0.6097185420219112
3433344B,EAME,2024-05-16,95,off_field,0.3997620235147289,NA
3433344B,EAME,2024-05-16,50,off_field,0.3909582538456897,NA
3433344B,EAME,2024-05-22,95,alfalfa,0.20483359794577394,0.715230525731353
3433344B,EAME,2024-05-22,50,alfalfa,0.27834044330132673,0.715230525731353
3433344B,EAME,2024-05-22,95,blue_silo,0.20301622626213864,0.6173627142491771
3433344B,EAME,2024-05-22,50,blue_silo,0.23812238661760343,0.6173627142491771
3433344B,EAME,2024-05-22,95,bobolink,0.0657768001995291,0.09928539113989934
3433344B,EAME,2024-05-22,50,bobolink,0.01240758254806937,0.09928539113989934
3433344B,EAME,2024-05-22,95,pear_tree,0.009280762180166357,0
3433344B,EAME,2024-05-22,95,swale,0.3217903786923896,0.6932797130439619
3433344B,EAME,2024-05-22,50,swale,0.4238484762033262,0.6932797130439619
3433344B,EAME,2024-05-22,95,underhill,0.008335327764653188,0
3433344B,EAME,2024-05-22,95,quarter,0.01140612539005475,0
3433344B,EAME,2024-05-22,95,retired,0.04581576169994307,0.2944236921673089
3433344B,EAME,2024-05-22,50,retired,0.025628119783512072,0.2944236921673089
3433344B,EAME,2024-05-22,95,clydesdale,0.014841059210978995,0
3433344B,EAME,2024-05-22,95,pond,0.008203984433902037,0
3433344B,EAME,2024-05-22,95,back_woods,0.00685028090043794,0
3433344B,EAME,2024-05-22,95,gi,0.00818062767107523,0
3433344B,EAME,2024-05-22,95,off_field,0.0823025133612318,NA
3433344B,EAME,2024-05-22,50,off_field,0.021652991546162167,NA
3433344B,EAME,2024-05-21,95,alfalfa,0.025567276673223047,0
3433344B,EAME,2024-05-21,95,blue_silo,0.2541702071199365,0.9057420212356707
3433344B,EAME,2024-05-21,50,blue_silo,0.43725762989490635,0.9057420212356707
3433344B,EAME,2024-05-21,95,bobolink,0.08206884138724681,0.5576729641067789
3433344B,EAME,2024-05-21,50,bobolink,0.0869292893676016,0.5576729641067789
3433344B,EAME,2024-05-21,95,horse,0.013028946954012985,0
3433344B,EAME,2024-05-21,95,pear_tree,0.034010833306122853,4.636991759715672e-5
3433344B,EAME,2024-05-21,95,swale,0.16205848932257402,0.7261238262489966
3433344B,EAME,2024-05-21,50,swale,0.22350678432429974,0.7261238262489966
3433344B,EAME,2024-05-21,95,underhill,0.02325030030545603,0
3433344B,EAME,2024-05-21,95,wheat,0.020669888317636012,0
3433344B,EAME,2024-05-21,95,quarter,0.02368988462796374,0
3433344B,EAME,2024-05-21,95,retired,0.03803073207364396,0.8960959700951691
3433344B,EAME,2024-05-21,50,retired,0.06472878368312454,0.8960959700951691
3433344B,EAME,2024-05-21,95,front_hay,0.007513010949060445,0
3433344B,EAME,2024-05-21,95,clydesdale,0.009862740448317912,0
3433344B,EAME,2024-05-21,95,pond,0.07720756678160907,0.4184466503172564
3433344B,EAME,2024-05-21,50,pond,0.061363228070696614,0.4184466503172564
3433344B,EAME,2024-05-21,95,back_woods,0.03869798690099188,0
3433344B,EAME,2024-05-21,95,cat_barn,0.007189070171212598,0
3433344B,EAME,2024-05-21,95,native_ws,0.013223616375933759,0
3433344B,EAME,2024-05-21,95,cattle,0.00618426428666883,0
3433344B,EAME,2024-05-21,95,wish_well,0.013652295844685414,0
3433344B,EAME,2024-05-21,95,off_field,0.1399863829666758,NA
3433344B,EAME,2024-05-21,50,off_field,0.1256556048347825,NA
3433344B,EAME,2024-05-27,95,blue_silo,0.13232047950599934,0.4192961912303944
3433344B,EAME,2024-05-27,50,blue_silo,0.10538260076507346,0.4192961912303944
3433344B,EAME,2024-05-27,95,frog,0.010027976384800857,0
3433344B,EAME,2024-05-27,95,pear_tree,0.08054137919314779,0.28603407808354325
3433344B,EAME,2024-05-27,50,pear_tree,0.043758030760995784,0.28603407808354325
3433344B,EAME,2024-05-27,95,swale,0.07167720047639019,0.3312560074878657
