tag_id,species,date,level,field_name,prop_use,confidence
66191E4C,EAME,2022-06-17,95,blue_silo,0.07405461631029017,0.21760763725521712
66191E4C,EAME,2022-06-17,50,blue_silo,0.030617655989700468,0.21760763725521712
66191E4C,EAME,2022-06-17,95,bobolink,0.40054112317516954,0.9187485697009777
66191E4C,EAME,2022-06-17,50,bobolink,0.6991807405530404,0.9187485697009777
66191E4C,EAME,2022-06-17,95,pear_tree,0.07550090508118616,0
66191E4C,EAME,2022-06-17,95,swale,0.02169154524473187,0
66191E4C,EAME,2022-06-17,95,underhill,0.08891806663946018,0
66191E4C,EAME,2022-06-17,95,retired,0.03437047962653682,0.22721156712701238
66191E4C,EAME,2022-06-17,50,retired,0.014837533046930832,0.22721156712701238
66191E4C,EAME,2022-06-17,95,front_hay,0.03147654950284778,0.07319692675480835
66191E4C,EAME,2022-06-17,95,pond,0.07081111289817289,0.21899953681552523
66191E4C,EAME,2022-06-17,50,pond,0.0294639036622421,0.21899953681552523
66191E4C,EAME,2022-06-17,95,off_field,0.19425474862023176,NA
66191E4C,EAME,2022-06-17,50,off_field,0.22152267198592207,NA
66191E4C,EAME,2022-06-21,95,blue_silo,0.08763989915828335,0.13780690881409813
66191E4C,EAME,2022-06-21,50,blue_silo,0.022921714937236243,0.13780690881409813
66191E4C,EAME,2022-06-21,95,bobolink,0.19269983454774045,0.46714928480882906
66191E4C,EAME,2022-06-21,50,bobolink,0.17084854203602007,0.46714928480882906
66191E4C,EAME,2022-06-21,95,swale,0.4501131560873714,0.7652959153727749
66191E4C,EAME,2022-06-21,50,swale,0.653770543830165,0.7652959153727749
66191E4C,EAME,2022-06-21,95,front_hay,0.007260494728457288,0
66191E4C,EAME,2022-06-21,95,clydesdale,0.029524829697666035,0
66191E4C,EAME,2022-06-21,95,pond,0.07348057029084393,0.1399048679586424
66191E4C,EAME,2022-06-21,50,pond,0.019511002795867947,0.1399048679586424
66191E4C,EAME,2022-06-21,95,off_field,0.1551862861958846,NA
66191E4C,EAME,2022-06-21,50,off_field,0.13294819640071076,NA
66191E4C,EAME,2022-06-30,95,blue_silo,0.24737099916570246,0.6281739475338047
66191E4C,EAME,2022-06-30,50,blue_silo,0.29523002367485207,0.6281739475338047
66191E4C,EAME,2022-06-30,95,bobolink,0.3091759698896201,0.5793488206536571
66191E4C,EAME,2022-06-30,50,bobolink,0.3403123236585639,0.5793488206536571
66191E4C,EAME,2022-06-30,95,swale,0.2337309050537748,0.4714088258712881
66191E4C,EAME,2022-06-30,50,swale,0.20933684156526763,0.4714088258712881
66191E4C,EAME,2022-06-30,95,retired,0.0512604260034538,0.5943520506787636
66191E4C,EAME,2022-06-30,50,retired,0.05788390124278437,0.5943520506787636
66191E4C,EAME,2022-06-30,95,pond,0.02130108682096756,0
66191E4C,EAME,2022-06-30,95,off_field,0.13326291511239635,NA
66191E4C,EAME,2022-06-30,50,off_field,0.09723690985853203,NA
66191E4C,EAME,2022-07-09,95,alfalfa,0.10798048279351787,0.4965082660004147
66191E4C,EAME,2022-07-09,50,alfalfa,0.10181412138571863,0.4965082660004147
66191E4C,EAME,2022-07-09,95,blue_silo,0.05941729455067217,0
66191E4C,EAME,2022-07-09,95,swale,0.561708681937304,0.5885198627853612
66191E4C,EAME,2022-07-09,50,swale,0.6277815259189949,0.5885198627853612
66191E4C,EAME,2022-07-09,95,pond,0.13727967011054287,0.6433151297391894
66191E4C,EAME,2022-07-09,50,pond,0.16771282024899814,0.6433151297391894
66191E4C,EAME,2022-07-09,95,back_woods,0.08090536176649915,0.3149275571083522
66191E4C,EAME,2022-07-09,50,back_woods,0.04838650327716083,0.3149275571083522
66191E4C,EAME,2022-07-09,95,off_field,0.05269511522428072,NA
66191E4C,EAME,2022-07-09,50,off_field,0.054305029169127404,NA
66191E4C,EAME,2022-07-21,95,alfalfa,0.03271531365284693,0
66191E4C,EAME,2022-07-21,95,blue_silo,0.17342180361412177,0.31928341771560576
66191E4C,EAME,2022-07-21,50,blue_silo,0.10510753198074935,0.31928341771560576
66191E4C,EAME,2022-07-21,95,pear_tree,0.084589562456603,0
66191E4C,EAME,2022-07-21,95,swale,0.5569371336221228,0.8001847349845458
66191E4C,EAME,2022-07-21,50,swale,0.845960750390395,0.8001847349845458
66191E4C,EAME,2022-07-21,95,wheat,0.027118096373589248,0
66191E4C,EAME,2022-07-21,95,quarter,0.007272833119174278,0
66191E4C,EAME,2022-07-21,95,cat_barn,0.01298400928217202,0
66191E4C,EAME,2022-07-21,95,off_field,0.09779186235283562,NA
66191E4C,EAME,2022-07-21,50,off_field,0.04893171762885567,NA
66191E4C,EAME,2022-06-10,95,alfalfa,0.006199261060466181,0
66191E4C,EAME,2022-06-10,95,blue_silo,0.18394674881452344,0.5637933202727113
66191E4C,EAME,2022-06-10,50,blue_silo,0.19692920811075038,0.5637933202727113
66191E4C,EAME,2022-06-10,95,bobolink,0.17861560451348135,0.18005497649182417
66191E4C,EAME,2022-06-10,50,bobolink,0.06106925460475493,0.18005497649182417
66191E4C,EAME,2022-06-10,95,swale,0.4485537905586126,0.6953542481339573
66191E4C,EAME,2022-06-10,50,swale,0.5922686368107818,0.6953542481339573
66191E4C,EAME,2022-06-10,95,pond,0.03248764762922358,0.0012600031963318924
66191E4C,EAME,2022-06-10,95,off_field,0.15007816986794764,NA
66191E4C,EAME,2022-06-10,50,off_field,0.14965517059232472,NA
66191E4C,EAME,2022-06-25,95,blue_silo,0.18729397251580043,0.6889421637653002
