tag_id,species,n_detections,n_days_detected,n_nodes_detected,n_localizations,n_kdes
07075555,BOBO,1790742,54,52,9242,34
07342A07,BOBO,279034,20,25,7416,30
074B0707,BOBO,453462,14,42,4543,21
07523319,BOBO,282040,10,42,6947,24
1907192D,BOBO,51291,5,28,810,8
19335519,BOBO,430960,11,42,5847,16
194B2A2A,BOBO,27885,13,16,430,8
1E344C66,BOBO,132207,18,22,1963,18
1E614C07,BOBO,601902,59,28,11310,51
2A2D3352,BOBO,657560,43,48,12739,42
2A342D1E,BOBO,197539,68,40,2624,31
2A344C55,BOBO,276593,37,41,13674,45
2A4C1E2D,BOBO,57392,5,12,746,8
2A613466,BOBO,81594,37,16,19189,44
33662A19,BOBO,23750,13,19,477,3
34346155,BOBO,545033,15,38,23564,50
34662D33,BOBO,297193,5,31,4405,18
4B074C1E,BOBO,31194,5,26,9044,26
4B4B6166,BOBO,26514,6,21,568,7
4C075278,BOBO,390463,10,36,15799,47
52612D66,BOBO,388242,82,14,18989,43
55073433,BOBO,2096197,126,30,29508,95
552D7878,BOBO,339534,19,32,7111,19
55554B4C,BOBO,682559,45,29,13517,40
612D521E,BOBO,255711,19,41,14508,54
072D782D,EAME,221928,13,16,2080,8
074C332A,EAME,446219,171,29,6972,39
191E4C19,EAME,495263,46,47,19846,89
192D2D4B,EAME,760234,35,53,8006,36
19611933,EAME,53159,20,19,910,6
1961612A,EAME,786769,138,50,17523,102
1978611E,EAME,618032,45,28,7317,47
1E2A192A,EAME,530802,217,47,6472,52
1E342D61,EAME,31033,9,18,353,7
1E552D19,EAME,35993,10,18,396,5
1E554B19,EAME,695321,20,37,13229,52
2D1E552D,EAME,153916,20,36,22621,70
2D1E6655,EAME,558942,33,44,18142,68
342D2D66,EAME,203654,9,38,22242,58
3433344B,EAME,89484,11,47,6771,31
34616633,EAME,89104,53,36,888,11
4B4B7855,EAME,684827,18,44,31278,79
4B783433,EAME,28734,14,32,5352,54
4C2A614C,EAME,14068,22,41,472,6
522A4B07,EAME,33399,2,42,11395,23
52523478,EAME,45458,11,7,4653,25
52525534,EAME,570362,32,41,7346,31
52553334,EAME,1116257,56,36,28154,114
55074B52,EAME,692580,44,35,6565,46
55526107,EAME,185606,10,40,1413,11
55613319,EAME,556422,41,28,5279,37
55616107,EAME,555706,50,50,6879,29
611E5219,EAME,1097583,30,51,8455,31
66191E4C,EAME,735699,126,52,8605,50
66194C4C,EAME,1152078,88,32,18675,87
6666344C,EAME,42222,22,12,603,9
66667855,EAME,236883,23,44,3217,28
78343334,EAME,118468,23,22,1397,16
784B1955,EAME,713152,109,37,21553,122
78786133,EAME,36040,63,28,1825,19
